"Blooket
Import Template",,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)"
1,"Which number completes the series? 7, 14, 28, 56, ?",84,98,112,120,20,3
2,"Which is the odd one out? Piano, Guitar, Violin, Spoon",Piano,Guitar,Violin,Spoon,20,4
3,"If all squares are rectangles and all rectangles are shapes, which must be true?",All shapes are squares,All rectangles are shapes,All shapes are rectangles,All rectangles are squares,25,2
4,What is 15 × 6?,80,85,90,95,15,3
5,"Find the missing number: 1, 1, 2, 3, 5, 8, ?",10,11,12,13,20,4
6,“STONE” is to “TONES” as “EARTH” is to…,HEART,RATHE,HERAT,EARHT,25,1
7,40% of 250 is…,90,95,100,110,15,2
8,Which number is largest?,0.8,5-Apr,4-Mar,8-Jul,15,4
9,"If a car travels 240 km in 4 hours, what is its speed?",50 km/h,55 km/h,60 km/h,65 km/h,20,3
10,Which shape has 6 equal sides?,Hexagon,Pentagon,Octagon,Heptagon,20,1
11,"If 8 + x = 15, what is x?",6,7,8,9,15,2
12,Which is heavier? 500 g of sugar or 0.5 kg of salt?,Sugar,Salt,Same weight,Cannot tell,15,3
13,"What is the missing letter? A, C, E, G, ?",H,I,J,K,20,2
14,Which word is a synonym of “rapid”?,Slow,Quick,Steady,Heavy,15,2
15,A shop sells pens for $2 each. How many pens can you buy with $18?,8,9,10,12,20,2
16,Which day comes 3 days after Friday?,Saturday,Sunday,Monday,Tuesday,25,3
17,Which number is a prime number?,21,29,33,35,20,2
18,Which is the largest planet in our Solar System?,Earth,Jupiter,Saturn,Neptune,15,2
19,What is 3² + 4²?,12,25,18,30,20,2
20,"If a cube has a side length of 3 cm, what is its volume?",9 cm³,18 cm³,27 cm³,36 cm³,25,3
21,,,,,,,
22,,,,,,,
23,,,,,,,
24,,,,,,,
25,,,,,,,
26,,,,,,,
27,,,,,,,
28,,,,,,,
29,,,,,,,
30,,,,,,,
31,,,,,,,
32,,,,,,,
33,,,,,,,
34,,,,,,,
35,,,,,,,
36,,,,,,,
37,,,,,,,
38,,,,,,,
39,,,,,,,
40,,,,,,,
41,,,,,,,
42,,,,,,,
43,,,,,,,
44,,,,,,,
45,,,,,,,
46,,,,,,,
47,,,,,,,
48,,,,,,,
49,,,,,,,
50,,,,,,,
51,,,,,,,
52,,,,,,,
53,,,,,,,
54,,,,,,,
55,,,,,,,
56,,,,,,,
57,,,,,,,
58,,,,,,,
59,,,,,,,
60,,,,,,,
61,,,,,,,
62,,,,,,,
63,,,,,,,
64,,,,,,,
65,,,,,,,
66,,,,,,,
67,,,,,,,
68,,,,,,,
69,,,,,,,
70,,,,,,,
71,,,,,,,
72,,,,,,,
73,,,,,,,
74,,,,,,,
75,,,,,,,
76,,,,,,,
77,,,,,,,
78,,,,,,,
79,,,,,,,
80,,,,,,,
81,,,,,,,
82,,,,,,,
83,,,,,,,
84,,,,,,,
85,,,,,,,
86,,,,,,,
87,,,,,,,
88,,,,,,,
89,,,,,,,
90,,,,,,,
91,,,,,,,
92,,,,,,,
93,,,,,,,
94,,,,,,,
95,,,,,,,
96,,,,,,,
97,,,,,,,
98,,,,,,,
99,,,,,,,
100,,,,,,,
