"Blooket
Import Template",,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)"
1,How do we deal with missing values in a variable that we want to analyse,We fill in a reasonable value,"We can ignore them in the analysis, but need to report them",We make them a separate level of the variable,None of the three,20,4
2,"Glasgow coma score is used to objectively describe the extent of impaired consciousness. The possible values are 15, 14, 13,..., 4 and 3. This variable is of type",Discrete,Continuous,Nominal,Ordinal,30,1
3,"In a boxplot, we can immediately read off",The peak of the distribution (mode),The 25 and 75 percentile and the median,The 2.5 and 97.5 percentile,The mean and the standard deviation,20,2
4,We make a scatterplot to visualize the relation between two numeric variables. Both have a skewed distribution. We want to quantify the strength of the association. What is the best way to do this?,Compute the Pearson correlation,Compute the Spearman correlation,Both Spearman and Pearson correlation can be used,Neither Spearman nor Pearson correlation can be used. We use the Wilcoxon signed-rank test,30,2
5,We use linear regression to study the relation between a numeric outcome variable and a numeric independent variable. Both have a skewed distribution. Do we need to transform both?,"Yes, variables with a skewed distribution always need to be transformed",The outcome variable needs to be transformed in order to make the residuals normal. There is no need to transform the independent variable. It only makes it harder to interpret,The outcome variable needs to be transformed in order to make the residuals normal. It is useful to transform the independent variable if it makes the relation with the outcome more linear,There is no need to transform. Transforming is only used to make mean and median more similar,60,3
6,We want to test whether the white blood cell count (wbc) in the cerebrospinal fluid differs between patients with tuberculous meningitis (TBM) and cryptococcal meningitis (CM). How do we formulate the null hypothesis?,There is no significant difference in mean wbc between TBM and CM patients,The mean wbc differs between TBM and CM patients,The 95% confidence interval for the difference in mean wbc between TBM and CM patients does not cover the value 0,There is no difference in mean wbc between TBM and CM patients,50,4
7,"In a large randomized controlled trial we study whether dexamethasone reduces mortality in patients with tuberculous meningitis. The estimate of the odds ratio of the risk of dying within one year was 0.86, with 95% confidence interval 0.52-1.41 and a p-value of 0.55. What do we conclude with respect to the null hypothesis OR=1?",The null hypothesis is correct,The probability that the null hypothesis is correct is 55%,"If the null hypothesis is correct, then the probability to obtain an estimate of OR<0.86 or OR>1/0.86=1.16 is 55%","The probability to reject the null hypothesis, when in fact it is correct, is 45%",50,3
8,What does it mean that the 95% confidence interval (CI) for the odds ratio is 0.52-1.41?,With 95% probability the true OR is between 0.52 and 1.41,"If we repeat the experiment many times under exactly the same conditions, then the OR estimate will be between 0.52 and 1.41 in 95% of these experiments","If we repeat the experiment many times under exactly the same conditions, then in 95% of these experiments the 95% CI will cover the true value",None of the three is correct,40,3
9,What is the difference between standard deviation and standard error?,The standard error is the name given to the standard deviation of the estimator of a population parameter,"The standard deviation quantifies the spread in the measured values of a variable in the sample, while the standard error quantifies the spread in the values in the population that the sample represents",Standard error and standard deviation are two names of the same quantity,"The standard deviation quantifies the spread in the measured values of a variable in the sample, while the standard error is the probability of falsely rejecting the null hypothesis",50,1
10,A researcher wants to compare the mean cholesterol levels between a group of smokers and a group of non-smokers. The data in both groups are normally distributed. Which statistical test is the most appropriate to use?,Paired t-test,Independent (Two-sample) t-test,Wilcoxon signed-rank test,Wilcoxon rank-sum test,40,2
11,Which of the following scenarios would require a paired t-test (or a Wilcoxon signed-rank test) instead of an independent samples test?,Comparing the weight of 50 men vs. 50 women,Comparing the recovery time of patients using Drug A vs. patients using Drug B,Comparing the systolic blood pressure of the same group of patients before and after taking a new medication,Comparing the test scores of students in two different cities,50,3
12,You are comparing the length of hospital stays (in days) between two groups of patients. You notice that the sample size is small (n = 12 per group) and the data is highly skewed with several outliers. Which test should you use to compare these two groups?,Student's t-test,Paired t-test,Wilcoxon rank-sum test,Linear regression,40,3
13,"A study compares the effect of two different diets on weight loss. After performing a t-test, the researchers report a p-value of 0.02. Using a significance level ($\alpha$) of 0.05, what is the most appropriate conclusion?",Fail to reject the null hypothesis; there is no evidence of a difference,Reject the null hypothesis; there is a statistically significant difference between the diets,The probability that the null hypothesis is true is exactly 2%,The difference between the diets is so large that it is clinically important,50,2
14,"Before performing a formal statistical analysis, a researcher wants to visualize the relationship between body mass index (BMI) and fasting blood glucose levels. Which type of graph is the most appropriate for this purpose?",Bar chart,Histogram,Scatter plot,Box plot,40,3
15,"In a simple linear regression model where Systolic Blood Pressure (SBP) is the dependent variable and Age is the independent variable, the resulting equation is SBP = 105 + 0.45*Age. What is the correct interpretation of the slope (0.45)?",The average SBP for all patients is 105 mmHg,"For every 1-year increase in age, the SBP is expected to increase by 0.45 mmHg on average","For every 0.45-year increase in age, the SBP increases by 1 mmHg",45% of the variation in SBP is explained by age,50,2
16,Which of the following is a key assumption required for the results of a simple linear regression analysis to be valid?,The independent variable must follow a normal distribution,The relationship between x and y must be roughly linear,The dependent variable must be a categorical or continuous variable,The sample size must be greater than 100 participants,25,2
17,"In a case-control study investigating the relationship between a specific genetic marker and the development of severe dengue, which measure of association is the most appropriate to report?",Relative Risk (RR),Odds Ratio (OR),Absolute Risk Reduction (ARR),Hazard Ratio (HR),40,2
18,A logistic regression analysis finds that the Odds Ratio for mortality in patients with secondary dengue infection compared to primary infection is 3.2 (95% CI: 1.8 Ð 5.4). What is the correct interpretation of this result?,Patients with secondary infection are 3.2 times more likely to survive,The probability of death is 3.2% higher in the secondary infection group,The odds of death are 3.2 times higher in patients with secondary infection compared to primary infection,There is no statistically significant association because the OR is greater than 1,50,3
